시도,시군구,지방채,기타,국비,차관,세입수수료,지방비_분류,지방비,year
부산,남구,0,0,0,0,3423000,자체예산,0,2016
부산,북구,0,0,0,0,4907000,자체예산,0,2016
부산,해운대구,0,0,0,0,7663000,자체예산,0,2016
부산,사하구,0,0,0,0,5508000,자체예산,0,2016
부산,금정구,0,0,0,0,4302000,자체예산,0,2016
부산,강서구,0,0,0,0,1424000,자체예산,0,2016
부산,연제구,0,0,0,0,3269000,자체예산,0,2016
부산,수영구,0,0,0,0,3189000,자체예산,0,2016
부산,사상구,0,0,0,0,4116000,자체예산,0,2016
부산,기장군,0,0,0,0,2598000,자체예산,0,2016
대구,대구,0,0,0,0,9078808,자체예산,39485121,2016
대구,중구,0,0,13500,0,844000,자체예산,0,2016
대구,동구,0,0,0,0,5331000,자체예산,0,2016
대구,서구,0,0,0,0,3587000,자체예산,0,2016
대구,남구,0,0,0,0,2381000,자체예산,0,2016
대구,북구,0,0,100,0,6648000,자체예산,0,2016
대구,수성구,0,0,1155100,0,8517000,자체예산,0,2016
대구,달서구,0,0,265200,0,10278000,자체예산,0,2016
대구,달성군,0,0,2700,0,4007000,자체예산,0,2016
대구,군위군,0,25229,30000,0,174000,자체예산,0,2016
인천,인천,0,0,14263500,0,23657736,자체예산,42501351,2016
인천,중구,0,0,0,0,3296000,자체예산,0,2016
인천,동구,0,0,0,0,479000,자체예산,0,2016
인천,미추홀구,0,0,240000,0,7013000,자체예산,0,2016
인천,연수구,0,0,0,0,5177000,자체예산,0,2016
인천,남동구,0,0,327500,0,11867000,자체예산,0,2016
인천,부평구,0,0,240000,0,9711000,자체예산,0,2016
인천,계양구,0,0,0,0,6093000,자체예산,0,2016
인천,서구,0,0,100,0,9315000,자체예산,0,2016
인천,강화군,0,0,41500,0,860000,자체예산,0,2016
인천,옹진군,0,0,262900,0,601000,자체예산,0,2016
광주,광주,0,0,0,0,9464465,자체예산,0,2016
광주,동구,0,0,0,0,2155000,자체예산,0,2016
광주,서구,0,0,0,0,6711000,자체예산,0,2016
광주,남구,0,0,200,0,3453000,자체예산,0,2016
광주,북구,0,0,1300,0,7145000,자체예산,0,2016
광주,광산구,0,0,500,0,7216000,자체예산,0,2016
대전,대전,0,0,0,0,15142658,자체예산,21939315,2016
