시도,시군구,소속기관,인원장비,관리인원or장비_대수,year
충남,부여군,자치단체,차량(대),4,2016
충남,서천군,자치단체,차량(대),21,2016
충남,청양군,자치단체,차량(대),18,2016
충남,홍성군,자치단체,차량(대),24,2016
충남,예산군,자치단체,차량(대),20,2016
충남,태안군,자치단체,차량(대),25,2016
전북,전주시,자치단체,차량(대),42,2016
전북,군산시,자치단체,차량(대),16,2016
전북,익산시,자치단체,차량(대),51,2016
전북,정읍시,자치단체,차량(대),16,2016
전북,남원시,자치단체,차량(대),35,2016
전북,김제시,자치단체,차량(대),26,2016
전북,완주군,자치단체,차량(대),17,2016
전북,진안군,자치단체,차량(대),12,2016
전북,무주군,자치단체,차량(대),12,2016
전북,장수군,자치단체,차량(대),13,2016
전북,임실군,자치단체,차량(대),9,2016
전북,순창군,자치단체,차량(대),14,2016
전북,고창군,자치단체,차량(대),26,2016
전북,부안군,자치단체,차량(대),20,2016
전남,목포시,자치단체,차량(대),34,2016
전남,여수시,자치단체,차량(대),0,2016
전남,순천시,자치단체,차량(대),23,2016
전남,나주시,자치단체,차량(대),26,2016
전남,광양시,자치단체,차량(대),0,2016
전남,담양군,자치단체,차량(대),18,2016
전남,곡성군,자치단체,차량(대),13,2016
전남,구례군,자치단체,차량(대),7,2016
전남,고흥군,자치단체,차량(대),35,2016
전남,보성군,자치단체,차량(대),17,2016
전남,화순군,자치단체,차량(대),16,2016
전남,장흥군,자치단체,차량(대),19,2016
전남,강진군,자치단체,차량(대),12,2016
전남,해남군,자치단체,차량(대),26,2016
전남,영암군,자치단체,차량(대),19,2016
전남,무안군,자치단체,차량(대),16,2016
전남,함평군,자치단체,차량(대),13,2016
전남,영광군,자치단체,차량(대),19,2016
전남,장성군,자치단체,차량(대),16,2016
전남,완도군,자치단체,차량(대),18,2016
전남,진도군,자치단체,차량(대),14,2016
전남,신안군,자치단체,차량(대),22,2016
경북,포항시,자치단체,차량(대),66,2016
경북,경주시,자치단체,차량(대),36,2016
경북,김천시,자치단체,차량(대),15,2016
경북,안동시,자치단체,차량(대),22,2016
경북,구미시,자치단체,차량(대),47,2016
경북,영주시,자치단체,차량(대),20,2016
경북,영천시,자치단체,차량(대),32,2016
경북,상주시,자치단체,차량(대),40,2016
경북,문경시,자치단체,차량(대),16,2016
경북,경산시,자치단체,차량(대),47,2016
경북,의성군,자치단체,차량(대),7,2016
경북,청송군,자치단체,차량(대),11,2016
경북,영양군,자치단체,차량(대),8,2016
경북,영덕군,자치단체,차량(대),16,2016
경북,청도군,자치단체,차량(대),9,2016
경북,고령군,자치단체,차량(대),2,2016
경북,성주군,자치단체,차량(대),2,2016
경북,칠곡군,자치단체,차량(대),7,2016
경북,예천군,자치단체,차량(대),22,2016
경북,봉화군,자치단체,차량(대),3,2016
경북,울진군,자치단체,차량(대),14,2016
경북,울릉군,자치단체,차량(대),8,2016
경남,창원시,자치단체,차량(대),58,2016
경남,진주시,자치단체,차량(대),103,2016
경남,통영시,자치단체,차량(대),7,2016
경남,사천시,자치단체,차량(대),28,2016
경남,김해시,자치단체,차량(대),5,2016
경남,밀양시,자치단체,차량(대),10,2016
경남,거제시,자치단체,차량(대),17,2016
경남,양산시,자치단체,차량(대),84,2016
경남,의령군,자치단체,차량(대),10,2016
경남,함안군,자치단체,차량(대),4,2016
경남,창녕군,자치단체,차량(대),6,2016
경남,고성군,자치단체,차량(대),16,2016
경남,남해군,자치단체,차량(대),14,2016
경남,하동군,자치단체,차량(대),18,2016
경남,산청군,자치단체,차량(대),9,2016
경남,함양군,자치단체,차량(대),12,2016
경남,거창군,자치단체,차량(대),5,2016
경남,합천군,자치단체,차량(대),22,2016
제주,제주시,자치단체,차량(대),126,2016
제주,서귀포시,자치단체,차량(대),66,2016
강원,춘천시,자치단체,차량(대),24,2016
강원,원주시,자치단체,차량(대),154,2016
강원,강릉시,자치단체,차량(대),21,2016
강원,동해시,자치단체,차량(대),21,2016
강원,태백시,자치단체,차량(대),11,2016
강원,속초시,자치단체,차량(대),12,2016
강원,삼척시,자치단체,차량(대),20,2016
강원,홍천군,자치단체,차량(대),7,2016
강원,횡성군,자치단체,차량(대),1,2016
강원,영월군,자치단체,차량(대),21,2016
