,재활용가능자원 분리배출_종이류,종량제에 의한 혼합배출_가연성_음식물채소류,재활용가능자원 분리배출_기타,재활용가능자원 분리배출_전자제품,종량제에 의한 혼합배출_가연성_플라스틱류,종량제에 의한 혼합배출_불연성_소계,종량제에 의한 혼합배출_소계,재활용가능자원 분리배출_발포수지류,총계,재활용가능자원 분리배출_영농폐기물,종량제에 의한 혼합배출_불연성_토사류,재활용가능자원 분리배출_가구류,재활용가능자원 분리배출_기타(배출불명 등),음식물류 배출(분리배출 지역일 경우),재활용가능자원 분리배출_형광등,종량제에 의한 혼합배출_가연성_소계,재활용가능자원 분리배출_소계,구분_시군구,재활용가능자원 분리배출_폐식용유,종량제에 의한 혼합배출_가연성_고무피혁류,재활용가능자원 분리배출_윤활유,재활용가능자원 분리배출_전지류,재활용가능자원 분리배출_의류,종량제에 의한 혼합배출_가연성_기타,재활용가능자원 분리배출_합성수지류,종량제에 의한 혼합배출_가연성_나무류,재활용가능자원 분리배출_고철류,종량제에 의한 혼합배출_가연성_종이류,재활용가능자원 분리배출_플라스틱류,종량제에 의한 혼합배출_불연성_금속류,재활용가능자원 분리배출_캔류,발생량및처리현황,종량제에 의한 혼합배출_불연성_기타,재활용가능자원 분리배출_유리병류,종량제에 의한 혼합배출_불연성_유리류,재활용가능자원 분리배출_타이어,구분_시도
192,16.9,0.0,0.1,0.0,25.9,7.2,91.3,0.2,189.0,0.1,0.4,0.0,0.0,50.6,0.1,84.1,47.1,달성군,0.0,1.0,0.0,0.0,1.0,19.2,3.4,2.3,4.7,35.7,6.5,3.4,4.6,발생량,1.3,9.5,2.1,0.0,대구
193,0.0,0.0,0.0,0.0,13.7,3.8,48.3,0.0,48.3,0.0,0.2,0.0,0.0,0.0,0.0,44.5,0.0,달성군,0.0,0.5,0.0,0.0,0.0,10.2,0.0,1.2,0.0,18.9,0.0,1.8,0.0,매립,0.7,0.0,1.1,0.0,대구
194,0.0,0.0,0.0,0.0,7.9,2.1,27.7,0.0,27.7,0.0,0.1,0.0,0.0,0.0,0.0,25.6,0.0,달성군,0.0,0.3,0.0,0.0,0.0,5.9,0.0,0.7,0.0,10.8,0.0,1.0,0.0,소각,0.4,0.0,0.6,0.0,대구
195,16.9,0.0,0.1,0.0,4.3,1.3,15.3,0.2,113.0,0.1,0.1,0.0,0.0,50.6,0.1,14.0,47.1,달성군,0.0,0.2,0.0,0.0,1.0,3.1,3.4,0.4,4.7,6.0,6.5,0.6,4.6,재활용,0.2,9.5,0.4,0.0,대구
196,0.3,1.6,0.0,0.2,2.3,7.8,17.5,0.0,20.6,0.0,2.7,0.0,0.0,2.2,0.0,9.7,0.9,군위군,0.0,0.7,0.0,0.0,0.0,1.4,0.0,1.1,0.1,2.6,0.0,0.3,0.0,발생량,4.1,0.3,0.7,0.0,대구
197,0.0,0.8,0.0,0.0,0.9,7.1,11.4,0.0,11.7,0.0,2.7,0.0,0.0,0.3,0.0,4.3,0.0,군위군,0.0,0.3,0.0,0.0,0.0,0.8,0.0,0.5,0.0,1.0,0.0,0.3,0.0,매립,3.6,0.0,0.5,0.0,대구
198,0.0,0.0,0.0,0.0,1.3,0.3,4.4,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,군위군,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.6,0.0,1.4,0.0,0.0,0.0,소각,0.3,0.0,0.0,0.0,대구
199,0.3,0.8,0.0,0.2,0.1,0.4,1.7,0.0,4.5,0.0,0.0,0.0,0.0,1.9,0.0,1.3,0.9,군위군,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.2,0.0,0.0,0.0,재활용,0.2,0.3,0.2,0.0,대구
200,5.6,4.2,0.0,0.0,6.8,18.2,58.3,0.2,127.0,0.0,1.7,0.0,0.0,52.2,0.1,40.1,16.5,중구,0.0,8.0,0.0,0.0,0.7,0.7,3.8,8.8,0.4,11.6,1.8,5.6,0.8,발생량,4.7,3.1,6.2,0.0,인천
201,0.0,0.0,0.0,0.0,0.0,18.2,18.2,0.0,18.2,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,중구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,매립,4.7,0.0,6.2,0.0,인천
