,처리업체_소계,총계_소각,자가처리_재활용,자치단체_매립,자치단체_해역배출,자가처리_해역배출,처리업체_매립,구분_시군구,자가처리_소각,자치단체_소계,자가처리_매립,자치단체_소각,총계_매립,자치단체_재활용,처리업체_소각,총계_계,자가처리_소계,처리업체_재활용,총계_해역배출,총계_재활용,처리업체_해역배출,구분_시도
115,463.7,34.7,81.8,0.0,0,0,50.5,진천군,0.0,0.0,29.8,0.0,80.3,0.0,34.7,575.3,111.6,378.5,0.0,460.3,0.0,충북
116,133.0,8.5,0.0,0.0,0,0,6.2,괴산군,0.0,0.0,0.0,0.0,6.2,0.0,8.5,133.0,0.0,118.3,0.0,118.3,0.0,충북
117,511.5,82.4,56.0,0.0,0,0,42.1,음성군,2.6,0.0,6.7,0.0,48.8,0.0,79.8,576.8,65.3,389.6,0.0,445.6,0.0,충북
118,1176.6,3.2,1.7,0.0,0,0,19.1,단양군,0.0,0.0,0.0,0.0,19.1,0.0,3.2,1178.3,1.7,1154.3,0.0,1156.0,0.0,충북
119,1035.0,144.5,992.3,0.0,0,0,212.0,천안시,7.5,0.0,2.1,0.0,214.1,0.0,137.0,2036.9,1001.9,686.0,0.0,1678.3,0.0,충남
120,311.5,96.6,0.0,0.0,0,0,36.1,공주시,0.0,0.0,0.0,0.0,36.1,0.0,96.6,311.5,0.0,178.8,0.0,178.8,0.0,충남
121,3093.8,15.5,0.0,0.0,0,0,7.9,보령시,0.1,0.0,730.8,0.0,738.7,0.0,15.4,3824.7,730.9,3070.5,0.0,3070.5,0.0,충남
122,1351.0,102.5,0.0,0.0,0,0,132.6,아산시,0.0,0.0,0.0,0.0,132.6,0.0,102.5,1351.0,0.0,1115.9,0.0,1115.9,0.0,충남
123,395.5,15.2,0.7,0.0,0,0,118.0,서산시,0.0,0.0,0.0,0.0,118.0,0.0,15.2,396.2,0.7,262.3,0.0,263.0,0.0,충남
124,353.0,49.0,0.0,0.0,0,0,48.0,논산시,0.0,0.0,0.0,0.0,48.0,0.0,49.0,353.0,0.0,256.0,0.0,256.0,0.0,충남
125,15.3,0.3,0.0,0.0,0,0,4.9,계룡시,0.0,0.0,0.0,0.0,4.9,0.0,0.3,15.3,0.0,10.1,0.0,10.1,0.0,충남
126,7129.0,30.8,16823.2,0.0,0,0,134.0,당진시,0.0,0.0,988.8,0.0,1122.8,0.0,30.8,24941.0,17812.0,6964.2,0.0,23787.4,0.0,충남
127,110.0,21.9,0.0,0.0,0,0,21.7,금산군,0.0,0.0,0.0,0.0,21.7,0.0,21.9,110.0,0.0,66.4,0.0,66.4,0.0,충남
128,38.6,1.3,0.0,0.0,0,0,3.2,부여군,0.0,0.0,0.0,0.0,3.2,0.0,1.3,38.6,0.0,34.1,0.0,34.1,0.0,충남
129,805.4,73.0,3.9,0.0,0,0,17.3,서천군,0.0,0.0,151.2,0.0,168.5,0.0,73.0,960.5,155.1,715.1,0.0,719.0,0.0,충남
